**** BEGIN LOGGING AT Sat Oct 22 09:26:56 2016

[LoverGuy has address Chat@love.friendship.faith.trust.peace.bliss]
Oct 22 09:26:56 <LoverGuy>	hi rf
Nov 15 22:31:08 <LoverGuy>	yeah
Nov 15 22:31:13 <LoverGuy>	that's also true
Nov 15 22:31:19 <RammsteinFan>	girls are evil in that respect :)
Nov 15 22:31:39 <LoverGuy>	i know
Nov 15 22:31:43 <LoverGuy>	i am getting to know
Nov 15 22:31:45 <LoverGuy>	:)
Nov 15 22:31:46 <RammsteinFan>	lol
Nov 15 22:31:49 <RammsteinFan>	sorry mate
Nov 15 22:31:54 <LoverGuy>	:P
Nov 15 22:31:54 <RammsteinFan>	had dinner?
Nov 15 22:32:05 <LoverGuy>	got some bakery stuff parceled
Nov 15 22:32:10 <LoverGuy>	gotta eat
Nov 15 22:32:26 <RammsteinFan>	ok
Nov 15 22:32:43 <LoverGuy>	got a jeera fizz drink
Nov 15 22:33:12 <RammsteinFan>	bindu jeera soda?
Nov 15 22:33:41 <LoverGuy>	someother 
Nov 15 22:33:47 <LoverGuy>	jeeru
Nov 15 22:33:55 <LoverGuy>	bindu is available only in karnataka
Nov 15 22:34:11 <RammsteinFan>	ok
Nov 15 22:42:05 *	LoverGuy has quit (Connection closed)
**** ENDING LOGGING AT Tue Nov 15 22:42:17 2016

**** BEGIN LOGGING AT Wed Nov 16 09:17:08 2016

[LoverGuy has address eternally@love.friendship.faith.trust.peace.bliss]
Nov 16 09:17:08 <LoverGuy>	any progress?
Nov 16 09:17:09 <LoverGuy>	:)
Nov 16 09:17:23 <RammsteinFan>	ill let you know man :)
Nov 16 09:17:31 <LoverGuy>	not that
Nov 16 09:17:33 <RammsteinFan>	right now same status
Nov 16 09:17:40 <LoverGuy>	about your businesss thingy
Nov 16 09:17:41 <RammsteinFan>	what then?
Nov 16 09:17:46 <RammsteinFan>	oh ok
Nov 16 09:17:51 <RammsteinFan>	same status thre too
Nov 16 09:18:05 <RammsteinFan>	will go back next week and talk directly
Nov 16 09:18:05 <LoverGuy>	ok...
Nov 16 09:18:13 <LoverGuy>	alll be best for both
Nov 16 09:18:15 <LoverGuy>	:)
Nov 16 09:18:22 <RammsteinFan>	thanks :)
**** ENDING LOGGING AT Wed Nov 16 09:20:17 2016

**** BEGIN LOGGING AT Thu Nov 17 17:50:23 2016

[LoverGuy has address eternally@love.friendship.faith.trust.peace.bliss]
Nov 17 17:50:23 <LoverGuy>	still working?
Nov 17 17:50:35 <RammsteinFan>	no djing
Nov 17 17:51:47 <LoverGuy>	ow ok
Nov 17 18:13:16 *	LoverGuy has quit (Connection closed)
**** ENDING LOGGING AT Thu Nov 17 18:13:32 2016

**** BEGIN LOGGING AT Sat Nov 19 12:51:39 2016

[LoverGuy has address eternally@love.friendship.faith.trust.peace.bliss]
Nov 19 12:51:39 <LoverGuy>	ny progress?
Nov 19 12:52:18 <LoverGuy>	in business matters
Nov 19 13:10:19 <RammsteinFan>	no buddy
Nov 19 13:10:29 <RammsteinFan>	i think i will take a teaching job
Nov 19 13:10:31 <RammsteinFan>	anyway
Nov 19 13:10:33 <RammsteinFan>	lunch time
Nov 19 13:10:34 <RammsteinFan>	laters
**** ENDING LOGGING AT Sat Nov 19 13:10:38 2016

**** BEGIN LOGGING AT Mon Nov 21 12:04:24 2016

[LoverGuy has address eternally@love.friendship.faith.trust.peace.bliss]
Nov 21 12:04:24 <LoverGuy>	again fights :(
Nov 21 12:04:40 <LoverGuy>	i will die, i know
Nov 21 12:05:56 <RammsteinFan>	:(
Nov 21 12:06:07 <LoverGuy>	am back
Nov 21 12:06:08 <RammsteinFan>	leave it
Nov 21 12:06:15 <RammsteinFan>	you in bglore?
Nov 21 12:06:18 <LoverGuy>	can't man, just can't
Nov 21 12:06:20 <LoverGuy>	near blore
Nov 21 12:06:25 <LoverGuy>	bro's home
Nov 21 12:06:29 <RammsteinFan>	i see
Nov 21 12:06:32 <RammsteinFan>	ok
Nov 21 12:06:37 <RammsteinFan>	did you tell him about all this?
Nov 21 12:06:43 <LoverGuy>	she thinks i am az
Nov 21 12:06:44 <LoverGuy>	no
Nov 21 12:06:47 <LoverGuy>	i can't
Nov 21 12:07:03 <RammsteinFan>	why does she think you are az?
Nov 21 12:07:09 <LoverGuy>	sapphire
Nov 21 12:07:27 <RammsteinFan>	why?
Nov 21 12:07:30 <LoverGuy>	this guy had asked me about me and her... i'd told him some details
Nov 21 12:07:40 <RammsteinFan>	and?
Nov 21 12:07:59 <LoverGuy>	he talked to her he's made a big show off of having known all about her
Nov 21 12:08:07 <LoverGuy>	and she thinks i am him
Nov 21 12:08:12 <LoverGuy>	playing a double game
Nov 21 12:08:14 <LoverGuy>	:(
Nov 21 12:08:17 <RammsteinFan>	aah i see
Nov 21 12:08:30 <RammsteinFan>	well you shouldnt have told a guy like az about you and sapphire
Nov 21 12:08:34 <LoverGuy>	about her being bipolar and all that
Nov 21 12:08:43 <LoverGuy>	i didn't know his character then...
Nov 21 12:08:47 <RammsteinFan>	ah ok
Nov 21 12:08:54 <LoverGuy>	he was also love sick at that time
Nov 21 12:08:58 <RammsteinFan>	hmm yes
Nov 21 12:09:16 <LoverGuy>	and now, it has added to the already gaping rift
Nov 21 12:09:29 <RammsteinFan>	well yes
Nov 21 12:09:35 <LoverGuy>	and someone abused her in a guest nick of being bipolar and all that
Nov 21 12:09:41 <LoverGuy>	and she thinks it's me
Nov 21 12:09:41 <RammsteinFan>	oh no!
Nov 21 12:09:57 <LoverGuy>	endless difficulties
Nov 21 12:09:58 <RammsteinFan>	yeah she will think its you
Nov 21 12:10:03 <LoverGuy>	yes
Nov 21 12:10:11 <LoverGuy>	i will never abuse even an enemy
Nov 21 12:10:13 <RammsteinFan>	did you tell her you told az about her?
Nov 21 12:10:19 <RammsteinFan>	ofcourse!
Nov 21 12:10:22 <LoverGuy>	yes...
Nov 21 12:10:33 <LoverGuy>	but she's not convinced
Nov 21 12:10:43 <LoverGuy>	she thinks i am az and i am the abuser
Nov 21 12:10:47 <RammsteinFan>	well yes it looks weird now
Nov 21 12:11:08 <RammsteinFan>	i dont know why az cant keep his mouth shut about other people matters
Nov 21 12:11:08 <LoverGuy>	she loves me, that much she admitted.. even today
Nov 21 12:11:16 <RammsteinFan>	ah thats good
Nov 21 12:11:31 <LoverGuy>	he likes to show off that he knows everything about others
Nov 21 12:11:40 <RammsteinFan>	yeah hes like that
Nov 21 12:11:43 <LoverGuy>	but a mistrust has developed
Nov 21 12:12:00 <LoverGuy>	and once it creeps in, it's difficult to mend it
Nov 21 12:12:01 <RammsteinFan>	once i saw him and crimson fighting in main
Nov 21 12:12:06 <LoverGuy>	hmmm
Nov 21 12:12:08 <LoverGuy>	she hates him
Nov 21 12:12:14 <LoverGuy>	and now she thinks i am him
Nov 21 12:12:21 <RammsteinFan>	well he pmed her and she just posted what he pmed her in main
Nov 21 12:12:50 <RammsteinFan>	leave her to cool off
Nov 21 12:12:53 <LoverGuy>	ohh... she thinks i am trying to woo dew now, in az's nick
Nov 21 12:12:54 <LoverGuy>	yes
Nov 21 12:12:59 <RammsteinFan>	these kind of things can happen 
Nov 21 12:12:59 <LoverGuy>	that's all i can do
Nov 21 12:13:03 <RammsteinFan>	lol really?
Nov 21 12:13:08 <LoverGuy>	yes
Nov 21 12:13:10 <RammsteinFan>	how can that happen>
Nov 21 12:13:24 <RammsteinFan>	tell her to get a clone checker 
Nov 21 12:13:27 <LoverGuy>	i told her to come and look here when we both were playing
Nov 21 12:13:29 <LoverGuy>	lol
Nov 21 12:13:32 <RammsteinFan>	shes being paranoid
Nov 21 12:13:43 <RammsteinFan>	yeah that will work
Nov 21 12:13:49 <RammsteinFan>	tell her to do that
Nov 21 12:14:22 <LoverGuy>	she won't.... and even dragon hates az... i told her to speak dragon too... she won't listen... she's formed an opinion and her gut instincts never lie!
Nov 21 12:14:44 <RammsteinFan>	hmm
Nov 21 12:14:45 <RammsteinFan>	well
Nov 21 12:14:51 <RammsteinFan>	why does dragon hate az?
Nov 21 12:15:13 <LoverGuy>	i think az was jealous when dragon hugged dew.. on the mains
Nov 21 12:15:18 <RammsteinFan>	looool
Nov 21 12:15:22 <RammsteinFan>	yeah he is like that
Nov 21 12:15:32 <LoverGuy>	he's the reason dragon stopped coming here
Nov 21 12:15:34 <RammsteinFan>	idiot of the highest order
Nov 21 12:15:36 <LoverGuy>	he told me
Nov 21 12:15:38 <LoverGuy>	yes
Nov 21 12:15:47 <RammsteinFan>	oh he stopped coming here coz of az?
Nov 21 12:15:57 <RammsteinFan>	he should just ignore him
Nov 21 12:16:00 <LoverGuy>	yeah.. he was royally furious at him
Nov 21 12:16:05 <RammsteinFan>	hmm 
Nov 21 12:16:17 <RammsteinFan>	of course
Nov 21 12:16:19 <RammsteinFan>	understable
Nov 21 12:16:23 <RammsteinFan>	standable*
Nov 21 12:16:45 <LoverGuy>	idk why so many difficulties are being posed for our love
Nov 21 12:16:52 <RammsteinFan>	true buddy!
Nov 21 12:17:00 <RammsteinFan>	lets hope for the best1
Nov 21 12:17:01 <RammsteinFan>	!
Nov 21 12:17:08 <LoverGuy>	she loves me, and she cannot hate me... that much she made clear
Nov 21 12:17:12 <RammsteinFan>	im sure everything will be ok with time
Nov 21 12:17:23 <LoverGuy>	but mistrust has covered up that underlying love
Nov 21 12:17:24 <RammsteinFan>	ok
Nov 21 12:17:35 <LoverGuy>	it's got to wear away slowly
Nov 21 12:17:50 <RammsteinFan>	sure
Nov 21 12:18:06 <LoverGuy>	dunno when it will happen :(
Nov 21 12:18:19 <RammsteinFan>	give it some time...and hope that idiot doesnt pm her with some shit again
Nov 21 12:18:30 <LoverGuy>	i just hope and pray he doesn't
Nov 21 12:18:39 <RammsteinFan>	you should talk to him
Nov 21 12:18:55 <RammsteinFan>	tell him to stay out of your matters
Nov 21 12:19:12 <RammsteinFan>	if he continues like this she will be even more angry
Nov 21 12:19:17 <LoverGuy>	i will... and dew has innocently trusted him. i am very scared where those two will end up
Nov 21 12:19:21 <LoverGuy>	yes....
Nov 21 12:19:27 <LoverGuy>	that's my fear
Nov 21 12:19:38 <RammsteinFan>	dont reveal anything to him anymore
Nov 21 12:20:06 <LoverGuy>	never again... i'll deal with this matter and put his nick on ignore
Nov 21 12:20:21 <RammsteinFan>	sure
Nov 21 12:20:43 <RammsteinFan>	but dont put his nick on ignore...you need to see what he does in main too
Nov 21 12:20:48 <LoverGuy>	what's up with you? any progress?
Nov 21 12:20:51 <LoverGuy>	oh yes
Nov 21 12:21:02 <RammsteinFan>	business?
Nov 21 12:21:05 <LoverGuy>	yes
Nov 21 12:21:20 <RammsteinFan>	i told you last time that it looks like it wont come across
Nov 21 12:21:28 <RammsteinFan>	prob will take up a teaching job
Nov 21 12:21:34 <LoverGuy>	hmmm...
Nov 21 12:21:54 <LoverGuy>	you will have to wait until next academic year
Nov 21 12:21:59 <LoverGuy>	march-april
Nov 21 12:22:10 <RammsteinFan>	yeah looks like that...
Nov 21 12:22:24 <LoverGuy>	good thing... it'll give you time
Nov 21 12:22:27 <RammsteinFan>	going to hometown next week prob..have to talk to the college guys 
Nov 21 12:22:28 <LoverGuy>	to thinkover
Nov 21 12:22:32 <LoverGuy>	ok..
Nov 21 12:22:35 <RammsteinFan>	thinkove what?
Nov 21 12:22:48 <RammsteinFan>	i HAVE to move ot my hometown
Nov 21 12:22:53 <RammsteinFan>	no other option for me
Nov 21 12:22:56 <LoverGuy>	whether to stay in software or to hop to teaching
Nov 21 12:22:57 <LoverGuy>	oh ok
Nov 21 12:23:49 <LoverGuy>	we argued for 7 hours today...
Nov 21 12:23:51 <LoverGuy>	fruitless
Nov 21 12:24:05 <RammsteinFan>	ok
Nov 21 12:24:33 <LoverGuy>	she has formed and opinion and won't try to ascertain it's truth
Nov 21 12:25:00 <RammsteinFan>	looks like it
**** ENDING LOGGING AT Mon Nov 21 13:03:54 2016

**** BEGIN LOGGING AT Tue Nov 22 16:07:17 2016

[LoverGuy has address eternally@love.friendship.faith.trust.peace.bliss]
Nov 22 16:07:17 <LoverGuy>	hi
Nov 22 19:12:49 *	Disconnected (Connection reset by peer)
Nov 22 19:47:00 <RammsteinFan>	hi
Nov 22 19:47:38 <LoverGuy>	hi
Nov 22 19:47:39 <LoverGuy>	:)
Nov 22 19:47:43 <LoverGuy>	how're you?
Nov 22 19:47:54 <RammsteinFan>	im ok. how are you?
Nov 22 19:48:06 <LoverGuy>	sorta ok..
Nov 22 19:48:15 <RammsteinFan>	i se
Nov 22 19:48:17 <RammsteinFan>	see*
Nov 22 19:49:01 <LoverGuy>	she's the most fluctuating person i've seen... changes by the hours
Nov 22 19:49:27 <LoverGuy>	and my health and peace varies analogus to it
Nov 22 19:49:29 <LoverGuy>	:D
Nov 22 19:49:40 <RammsteinFan>	hmmm
Nov 22 19:49:45 <RammsteinFan>	what happened now?
Nov 22 19:50:08 <LoverGuy>	now it's ok
Nov 22 19:50:25 <LoverGuy>	don't know how long the ok will las
Nov 22 19:51:03 <LoverGuy>	what can i say when she says she doesn't know herself and has no control over her mind?
Nov 22 19:51:29 <RammsteinFan>	i see
Nov 22 19:54:04 <LoverGuy>	yeah, i wanted to ask why you can't move your family to bangalore... that could be a solution
Nov 22 19:54:29 <RammsteinFan>	hmm
Nov 22 19:54:51 <RammsteinFan>	well they cant take care of themselves here..entirely new environment
Nov 22 19:55:02 <LoverGuy>	ok...
Nov 22 19:55:09 <RammsteinFan>	ill be in office...what are they supposed to do if something happens?
Nov 22 19:55:19 <LoverGuy>	hmmm..
Nov 22 19:55:28 <LoverGuy>	and more polluted too
Nov 22 19:56:05 <RammsteinFan>	ye
Nov 22 19:56:06 <RammsteinFan>	yes
Nov 22 19:57:35 *	LoverGuy has quit (Connection closed)
Nov 22 20:03:25 <LoverGuy>	you got a jio sim?
Nov 22 20:03:33 <RammsteinFan>	yes
Nov 22 20:03:49 <LoverGuy>	normal way to apply?
Nov 22 20:03:55 <LoverGuy>	with some id?
Nov 22 20:04:44 <RammsteinFan>	i got it through a friend of mine...in my hometown...i didnt give any documents.i got activated sim from
Nov 22 20:04:56 <RammsteinFan>	but i heard just need aadhar card to apply
Nov 22 20:05:03 <LoverGuy>	ok..
Nov 22 20:05:10 <LoverGuy>	i don't have aadhar
Nov 22 20:05:22 <LoverGuy>	i can provide voter id
Nov 22 20:05:36 <RammsteinFan>	that will work too just need more time to verify and activate sim
Nov 22 20:05:45 <LoverGuy>	ok..
Nov 22 20:06:22 <LoverGuy>	you mean, they actually go the residence and verify?
Nov 22 20:06:32 <RammsteinFan>	ni
Nov 22 20:06:53 <RammsteinFan>	i just heard from a friend
Nov 22 20:07:04 <LoverGuy>	coz i vacated my home in blore before going to himalayas
Nov 22 20:13:47 <LoverGuy>	have you tried logging in to libra from your phone?
Nov 22 20:25:18 <TempGagaFan>	yeah tried it once
Nov 22 20:25:24 *	LoverGuy has quit (Connection closed)
Nov 22 20:25:29 <TempGagaFan>	needs some flash player to be installed
Nov 22 20:25:30 *	LoverGuy :No such nick/channel
**** ENDING LOGGING AT Tue Nov 22 20:25:33 2016

**** BEGIN LOGGING AT Wed Nov 23 21:13:45 2016

[LoverGuy has address eternally@love.friendship.faith.trust.peace.bliss]
Nov 23 21:13:45 <LoverGuy>	any progress with your "teacher"?
Nov 23 21:13:48 <LoverGuy>	:)
Nov 23 21:14:48 <RammsteinFan>	no
Nov 23 21:14:55 <LoverGuy>	oh no
**** ENDING LOGGING AT Wed Nov 23 21:17:39 2016

**** BEGIN LOGGING AT Thu Nov 24 19:09:13 2016

[LoverGuy has address eternally@love.friendship.faith.trust.peace.bliss]
Nov 24 19:09:13 <LoverGuy>	she's unregistered her nick... no way to know who she is now
Nov 24 19:09:17 <LoverGuy>	:(
Nov 24 19:10:01 <RammsteinFan>	i see
Nov 24 19:10:14 <RammsteinFan>	she did it today?
Nov 24 19:10:23 <LoverGuy>	yesterday night
Nov 24 19:10:51 <RammsteinFan>	i see
Nov 24 19:11:58 <LoverGuy>	sadistic tendency... "let him keep pining, without knowing who i am"
Nov 24 19:12:57 <RammsteinFan>	looks like that buddy
Nov 24 19:15:28 <RammsteinFan>	cant you find out based on ip?
Nov 24 19:16:16 <LoverGuy>	maybe.. i gotta keep checking every few minutes..
Nov 24 19:16:27 <LoverGuy>	and to what avail?
Nov 24 19:17:02 <RammsteinFan>	hmm true
Nov 24 19:21:34 <RammsteinFan>	you there?
Nov 24 19:21:52 <LoverGuy>	yes
Nov 24 19:22:00 <LoverGuy>	i am lost
Nov 24 19:22:04 <RammsteinFan>	time you moved on dont you think buddy?
Nov 24 19:22:13 <LoverGuy>	can't
Nov 24 19:22:20 <RammsteinFan>	hmm
Nov 24 19:22:24 <LoverGuy>	unable to
Nov 24 19:22:29 <LoverGuy>	never
Nov 24 19:22:48 <RammsteinFan>	wh not?
Nov 24 19:22:54 <RammsteinFan>	why*
Nov 24 19:23:43 <LoverGuy>	i've become one with her... i don't have a seperate existence.
Nov 24 19:23:54 <LoverGuy>	cannot
Nov 24 19:24:00 <LoverGuy>	just cannot
Nov 24 19:24:12 <RammsteinFan>	even if she treat you this way?
Nov 24 19:24:20 <LoverGuy>	yes
Nov 24 19:24:34 <RammsteinFan>	hmmm
Nov 24 19:24:45 <RammsteinFan>	if i were you i would have moved on
Nov 24 19:25:06 <RammsteinFan>	no point in keeping a relation when its like this
Nov 24 19:25:57 <LoverGuy>	cannot.. i've fallen in love with her including the pain she gives, i guess..
Nov 24 19:26:18 <LoverGuy>	no will or desire to move on
Nov 24 19:26:39 <RammsteinFan>	hmmm
Nov 24 19:28:51 <LoverGuy>	i saw some great divinity and peace in it initially... the hope that it shall come back, no matter what, has been permanently etched in the mind..
Nov 24 19:29:45 <LoverGuy>	i will live and die in that belief
Nov 24 19:30:02 <RammsteinFan>	i se
Nov 24 19:30:06 <RammsteinFan>	see*
Nov 24 19:31:22 <LoverGuy>	my days are numbered, that much i know...
Nov 24 19:32:09 <LoverGuy>	that's why i went away there... instead of going away here, with no one to take care
Nov 24 19:32:25 <LoverGuy>	i was somehow forced to return
Nov 24 19:32:46 <LoverGuy>	the false pity of relatives just increases the pain
Nov 24 19:36:21 <RammsteinFan>	cmon man!
Nov 24 19:36:26 <RammsteinFan>	you will find someone
Nov 24 19:36:31 <RammsteinFan>	you just have to look
Nov 24 19:36:41 <RammsteinFan>	if you think negatively then nothing good will come from it
Nov 24 19:40:19 <LoverGuy>	i don't want to.. i'm hers, since the day we pledged... and shall be so forever... i feel a dejection towards other women.. i'm bred in the old school.. these aren't the feelings that come and go to my kind of ppl.. it's her, hell or heaven
Nov 24 19:56:23 <LoverGuy>	or she could login from her phone.... which will have a different ip
Nov 24 19:56:40 <LoverGuy>	maybe she's already here
Nov 24 19:56:43 <LoverGuy>	:(
Nov 24 20:05:01 <RammsteinFan>	maybe
**** ENDING LOGGING AT Thu Nov 24 21:04:53 2016

**** BEGIN LOGGING AT Sat Nov 26 16:04:26 2016

[LoverGuy has address eternally@love.friendship.faith.trust.peace.bliss]
Nov 26 16:04:26 <LoverGuy>	been to hometown?
Nov 26 16:04:52 <RammsteinFan>	no
Nov 26 16:04:59 <LoverGuy>	ok...
**** ENDING LOGGING AT Sat Nov 26 16:22:15 2016

**** BEGIN LOGGING AT Sat Nov 26 21:12:38 2016

[LoverGuy has address eternally@love.friendship.faith.trust.peace.bliss]
Nov 26 21:12:38 <LoverGuy>	the bane of my life has been that i'm too polite
Nov 26 21:12:48 <LoverGuy>	for dew's sake i gotta tolerate this guy
Nov 26 21:14:31 <RammsteinFan>	hmmm
Nov 26 21:14:49 <RammsteinFan>	ok
Nov 26 21:14:55 <RammsteinFan>	for dews sake?
Nov 26 21:14:59 <LoverGuy>	yes
Nov 26 21:15:05 <RammsteinFan>	what do you mean?
Nov 26 21:15:06 <LoverGuy>	she'll feel bad
Nov 26 21:15:11 <RammsteinFan>	i know
Nov 26 21:15:13 <LoverGuy>	she's close to him
Nov 26 21:15:17 <RammsteinFan>	ive had it with this guy
Nov 26 21:15:25 <RammsteinFan>	his always been an asshole
Nov 26 21:15:29 <RammsteinFan>	hes*
Nov 26 21:15:32 <LoverGuy>	lol
Nov 26 21:15:35 <RammsteinFan>	now i dont care anymore
Nov 26 21:15:39 <LoverGuy>	mmm
Nov 26 21:15:41 <RammsteinFan>	so i just ignore him
Nov 26 21:15:50 <RammsteinFan>	the other day he did the same nonsense in radio
Nov 26 21:15:56 <LoverGuy>	ohh
Nov 26 21:16:03 <RammsteinFan>	after that i stopped talking to him completely
Nov 26 21:16:19 <LoverGuy>	i feel too obliged to others.... it is  a -ve quality in me
Nov 26 21:16:29 <LoverGuy>	unable to overcome tht
Nov 26 21:16:46 <RammsteinFan>	well everyone is what everyone is
Nov 26 21:17:02 <LoverGuy>	yes
**** ENDING LOGGING AT Sat Nov 26 21:19:22 2016

**** BEGIN LOGGING AT Wed Nov 30 21:24:45 2016

[LoverGuy has address eternally@love.friendship.faith.trust.peace.bliss]
Nov 30 21:24:45 <LoverGuy>	any suspicious clones around?
Nov 30 21:24:55 <RammsteinFan>	no no
Nov 30 21:25:00 <LoverGuy>	lol
Nov 30 21:25:01 <LoverGuy>	ok
Nov 30 21:25:08 <LoverGuy>	i need one too
Nov 30 21:25:13 <RammsteinFan>	just asked coz when i dj i need to know
Nov 30 21:25:27 <LoverGuy>	yeah sure
Nov 30 21:25:37 <LoverGuy>	it's always useful on irc
Nov 30 21:25:42 <RammsteinFan>	yeah
**** ENDING LOGGING AT Wed Nov 30 21:33:28 2016

**** BEGIN LOGGING AT Thu Dec  1 18:05:57 2016

[LoverGuy has address eternally@love.friendship.faith.trust.peace.bliss]
Dec 01 18:05:57 <LoverGuy>	working? :)
Dec 01 18:21:49 <R[A]mmsteinFan>	i was
Dec 01 18:22:00 <LoverGuy>	oh k
Dec 01 18:22:03 <R[A]mmsteinFan>	now going out for some tea
Dec 01 18:22:10 <LoverGuy>	cool :)
Dec 01 18:22:13 <LoverGuy>	have fun
Dec 01 18:22:18 <R[A]mmsteinFan>	:)
Dec 01 18:22:24 <R[A]mmsteinFan>	lol fun?
Dec 01 18:22:28 <LoverGuy>	yeah
Dec 01 18:22:30 <LoverGuy>	:D
Dec 01 18:22:33 <LoverGuy>	why not?
Dec 01 18:22:47 <R[A]mmsteinFan>	hmm well lets see
Dec 01 18:23:12 <LoverGuy>	everything can be fun..
Dec 01 18:23:29 <R[A]mmsteinFan>	ok
Dec 01 18:23:34 <R[A]mmsteinFan>	laters
Dec 01 18:23:38 <LoverGuy>	sure
Dec 01 18:23:43 <LoverGuy>	have fun
**** BEGIN LOGGING AT Sat Dec  3 19:16:09 2016

[LoverGuy has address eternally@love.friendship.faith.trust.peace.bliss]
Dec 03 19:16:15 <RammsteinFan>	you there?
Dec 03 19:17:20 <RammsteinFan>	leaving for hometown today...dad is a bit serious
Dec 03 19:17:28 <RammsteinFan>	just wanted to let you know
Dec 03 19:17:31 <RammsteinFan>	ok cya
**** ENDING LOGGING AT Sat Dec  3 19:19:29 2016

**** BEGIN LOGGING AT Mon Dec 19 00:26:23 2016

[LoverGuy has address eternally@love.friendship.faith.trust.peace.bliss]
Dec 19 00:26:23 <LoverGuy>	busy?
Dec 19 00:26:41 <RammsteinFan>	not really
Dec 19 00:26:47 <RammsteinFan>	reading whatsapp msg
Dec 19 00:26:49 <LoverGuy>	hmm k
Dec 19 00:26:54 <LoverGuy>	yeah got it
Dec 19 00:26:55 <LoverGuy>	:)
**** ENDING LOGGING AT Mon Dec 19 00:34:49 2016

**** BEGIN LOGGING AT Mon Dec 19 17:31:39 2016

[LoverGuy has address eternally@love.friendship.faith.trust.peace.bliss]
Dec 19 17:31:39 <LoverGuy>	you use two instances of hexchat or can connect with one instance to two nicks/
Dec 19 17:31:40 <LoverGuy>	?
Dec 19 17:32:00 <RammsteinFan>	one instance..
Dec 19 17:32:07 <LoverGuy>	oh good
Dec 19 17:32:18 <LoverGuy>	i can't do that with ice chat
Dec 19 17:33:22 <RammsteinFan>	ah i see
Dec 19 17:33:28 <RammsteinFan>	hexchat is pretty easy to use
Dec 19 17:33:41 <LoverGuy>	it doesn't install on xp
Dec 19 17:34:19 <RammsteinFan>	ah ok
Dec 19 17:34:30 <RammsteinFan>	why are you still using xp?
Dec 19 17:34:45 <LoverGuy>	hmmm office laptop
Dec 19 17:34:53 <RammsteinFan>	ok
Dec 19 17:37:00 *	LoverGuy has quit (Quit: Reason filtered)
**** ENDING LOGGING AT Mon Dec 19 17:37:29 2016

**** BEGIN LOGGING AT Tue Dec 20 00:18:10 2016

[LoverGuy has address eternally@love.friendship.faith.trust.peace.bliss]
Dec 20 00:18:10 <LoverGuy>	how're things at home?
Dec 20 00:18:29 <RammsteinFan>	good now
Dec 20 00:18:30 <RammsteinFan>	thanks
Dec 20 00:18:35 <LoverGuy>	cool
Dec 20 00:18:50 <LoverGuy>	any progress with teaching job?
Dec 20 00:19:15 <RammsteinFan>	yeah asked my hod..he says m tech is mandatory for hiring in teaching position
Dec 20 00:19:22 <RammsteinFan>	so gotta do m tech
Dec 20 00:19:27 <RammsteinFan>	will do it part time now
Dec 20 00:19:52 <LoverGuy>	ok..
Dec 20 00:19:58 <LoverGuy>	that's better
Dec 20 00:20:08 <LoverGuy>	your company agreed?
Dec 20 00:20:14 <RammsteinFan>	leaving my company
Dec 20 00:20:20 <LoverGuy>	oh
Dec 20 00:20:22 <LoverGuy>	when?
Dec 20 00:20:24 <RammsteinFan>	will move to my hometown as soon as  i get a job there
Dec 20 00:20:38 <RammsteinFan>	have applied in 2 companies there
Dec 20 00:20:42 <LoverGuy>	ok..
**** ENDING LOGGING AT Tue Dec 20 00:24:20 2016

**** BEGIN LOGGING AT Tue Dec 20 02:47:47 2016

[LoverGuy has address eternally@love.friendship.faith.trust.peace.bliss]
Dec 20 02:47:47 <LoverGuy>	how'll you work if you are up all night?
Dec 20 02:48:09 <RammsteinFan>	coffee
Dec 20 02:48:14 <RammsteinFan>	ill go to bed at 3
Dec 20 02:48:15 <LoverGuy>	ugh
Dec 20 02:48:19 <LoverGuy>	hmmm
Dec 20 02:48:21 <LoverGuy>	k
Dec 20 02:48:24 <RammsteinFan>	how do you do it?
Dec 20 02:48:55 <LoverGuy>	i sleep very less.. i read until 3 or 4, or play trivia
Dec 20 02:49:01 <RammsteinFan>	wow
Dec 20 02:49:17 <LoverGuy>	and going throug hell right now
Dec 20 02:49:19 <LoverGuy>	lol
Dec 20 02:49:25 <LoverGuy>	so sleep is less
Dec 20 02:49:31 <RammsteinFan>	:(
Dec 20 02:49:42 <RammsteinFan>	hope things will work out man
Dec 20 02:49:51 <LoverGuy>	idk
Dec 20 02:50:46 <RammsteinFan>	umm did you talk to her recently?
Dec 20 02:50:53 <LoverGuy>	yeah
Dec 20 02:50:57 <LoverGuy>	yesterday
Dec 20 02:50:59 <LoverGuy>	today
Dec 20 02:51:17 <RammsteinFan>	i see
Dec 20 02:51:22 <LoverGuy>	she was continously saying i am az
Dec 20 02:51:27 <RammsteinFan>	i see
Dec 20 02:51:43 <RammsteinFan>	tell her to join trivia and see for herself
Dec 20 02:52:12 <LoverGuy>	i copy pasted a kaos from trivia yesterday, when you and az and buxom were here.... and told her how can i and az being one, can score so much
Dec 20 02:52:24 <LoverGuy>	she still didn't believe
Dec 20 02:52:49 <RammsteinFan>	hmmm then she could be using this as excuse
Dec 20 02:52:54 <LoverGuy>	she said you play so fast
Dec 20 02:53:36 <LoverGuy>	i mean i play so fast that i can play in two nicks
Dec 20 02:54:08 <RammsteinFan>	how is that even possible
Dec 20 02:54:21 <LoverGuy>	idk
Dec 20 02:54:24 <RammsteinFan>	she could be using this as an excuse
