**** BEGIN LOGGING AT Sat Oct 22 08:48:04 2016

[Cronus has address ircbot@493C27.04A8F1.010A50.791F03]
Oct 22 08:48:10 <DjAmmo>	!reqlogin ON
Dec 28 05:20:50 <Cronus>	Request from waytogo in #Radio on IRC: Fugly Fugly Kya Hai Title Song | Akshay Kumar, Salman Khan | Yo Yo Honey Singh   Use !dedicate text to dedicate the song to the person on the IRC Channel
Dec 28 05:25:37 <Cronus>	Request from Staunton in #Radio on IRC: Therion - Birth of Venus Illegitima Use !dedicate text to dedicate the song to the person on the IRC Channel
Dec 28 05:28:40 <Cronus>	Request from waytogo in #Radio on IRC: Mars Argo - Using You  Use !dedicate text to dedicate the song to the person on the IRC Channel
Dec 28 05:32:32 <Cronus>	Request from MinionKingBob in #Radio on IRC: The Mostar Diving Club- Worlds Collide Use !dedicate text to dedicate the song to the person on the IRC Channel
Dec 28 05:42:50 <Cronus>	Request from Staunton in #Radio on IRC: Therion - Rise of sodom and gomorrah Use !dedicate text to dedicate the song to the person on the IRC Channel
Dec 28 05:45:07 <Cronus>	Request from waytogo in #Radio on IRC: Hush Little Baby Lullaby Song  Use !dedicate text to dedicate the song to the person on the IRC Channel
Dec 28 05:51:59 <Cronus>	Request from MinionKingBob in #Radio on IRC: Ivete Sangalo Quando A Chuva Passar Use !dedicate text to dedicate the song to the person on the IRC Channel
Dec 28 05:53:57 <Cronus>	Request from Parsley in #Radio on IRC: rucka rucka ali-black say Use !dedicate text to dedicate the song to the person on the IRC Channel
Dec 28 06:00:11 <DjAmmo>	!reqlogin OFF
Dec 28 06:00:11 <Cronus>	You Are Now The Live DJ!
**** ENDING LOGGING AT Wed Dec 28 06:23:35 2016

**** BEGIN LOGGING AT Sat Dec 31 01:04:37 2016

[Cronus has address ircbot@493C27.04A8F1.010A50.791F03]
Dec 31 01:11:33 *	Notify: LilMermaid is online (LibraIRC)
Dec 31 01:11:33 *	[LilMermaid] (Jellofish@The.One.Who.Got.Away): Apocalypse
Dec 31 01:11:33 *	[LilMermaid] #40_something @#Middle_East @#trivia #friends #Lounge #Radio ~#Apocalypse &#ME-Help 
Dec 31 01:11:33 *	[LilMermaid] irc01-green.librairc.net :LibraIRC CA Server
Dec 31 01:11:33 *	[LilMermaid] is logged in as LilMermaid
Dec 31 01:11:33 *	[LilMermaid] idle 00:00:36, signon: Fri Dec 30 19:17:50
Dec 31 01:11:33 *	[LilMermaid] End of WHOIS list.
Dec 31 01:20:18 <DjAmmo>	!reqlogin on
Dec 31 01:20:19 <Cronus>	You Are Now The Live DJ!
Dec 31 01:20:34 <Cronus>	Request from _Donald_Trump in #Radio on IRC: Afrojack - The Spark Use !dedicate text to dedicate the song to the person on the IRC Channel
Dec 31 01:34:06 *	Notify: LilMermaid is offline (LibraIRC)
Dec 31 01:34:56 <Cronus>	Request from Sheld0n in #Radio on IRC: Skrillex ft Ragga Twins- Ease My mind vs Ragga Bomb Remix Use !dedicate text to dedicate the song to the person on the IRC Channel
Dec 31 01:35:25 <Cronus>	Request from _Donald_Trump in #Radio on IRC: Backstreet Boys - Everybody Use !dedicate text to dedicate the song to the person on the IRC Channel
Dec 31 02:00:26 <Cronus>	Request from _Donald_Trump in #Radio on IRC: Avicii - Wake Me Up Use !dedicate text to dedicate the song to the person on the IRC Channel
Dec 31 02:08:26 <Cronus>	Request from waytogo in #Radio on IRC: testing Use !dedicate text to dedicate the song to the person on the IRC Channel
Dec 31 02:09:49 <Cronus>	Request from waytogo in #Radio on IRC: Lifehouse - You and Me  Use !dedicate text to dedicate the song to the person on the IRC Channel
Dec 31 02:17:59 <Cronus>	Request from _Donald_Trump in #Radio on IRC: DJ Tiesto - Adagio For Strings Use !dedicate text to dedicate the song to the person on the IRC Channel
Dec 31 02:23:44 <Cronus>	Request from Guest39491 in #Radio on IRC: _Donald_Trump - la vida loca Use !dedicate text to dedicate the song to the person on the IRC Channel
Dec 31 02:33:39 <Cronus>	Request from _Donald_Trump in #Radio on IRC: Guru Josh Project - Infinity 2008 Use !dedicate text to dedicate the song to the person on the IRC Channel
Dec 31 02:47:56 <Cronus>	Request from _Donald_Trump in #Radio on IRC: John Legend - All of Me remix Use !dedicate text to dedicate the song to the person on the IRC Channel
Dec 31 02:52:25 <Cronus>	Request from _Donald_Trump in #Radio on IRC: Justin biber - wat do You mean Use !dedicate text to dedicate the song to the person on the IRC Channel
Dec 31 02:55:40 <Cronus>	Request from Fidel_Castro in #Radio on IRC: Veracocha - Carte Blanche Use !dedicate text to dedicate the song to the person on the IRC Channel
Dec 31 02:59:24 <Cronus>	Request from Sheld0n in #Radio on IRC: Avril Lavigne I'm with you Use !dedicate text to dedicate the song to the person on the IRC Channel
Dec 31 03:08:41 <Cronus>	Request from Sheld0n in #Radio on IRC: Jonas Blue-Perfect Strangers Use !dedicate text to dedicate the song to the person on the IRC Channel
Dec 31 03:23:16 <Cronus>	Request from Sheld0n in #Radio on IRC: Shreya Ghoshal Nagada Sang Dhol Use !dedicate text to dedicate the song to the person on the IRC Channel
Dec 31 03:23:25 <Cronus>	Request from Fidel_Castro in #Radio on IRC: guns n´ roses - patience Use !dedicate text to dedicate the song to the person on the IRC Channel
Dec 31 03:28:52 <Cronus>	Request from Sheld0n in #Radio on IRC: One Direction Night Changes Use !dedicate text to dedicate the song to the person on the IRC Channel
Dec 31 03:42:30 *	Disconnected (Connection reset by peer)
Dec 31 03:43:01 *	Disconnected (Remote host closed socket)
Dec 31 03:43:12 *	Disconnected (Remote host closed socket)
Dec 31 03:43:22 *	Disconnected (Remote host closed socket)
**** ENDING LOGGING AT Sat Dec 31 03:43:30 2016

**** BEGIN LOGGING AT Sat Dec 31 03:46:26 2016

[Cronus has address ircbot@493C27.04A8F1.010A50.791F03]
Dec 31 03:46:26 <Cronus>	Request from waytogo in #Radio on IRC: Pompeii - Bastille  Use !dedicate text to dedicate the song to the person on the IRC Channel
Dec 31 03:46:31 -NickServ-	You are now identified for DjAmmo.
Dec 31 03:46:31 *	irc01-green.librairc.net sets mode -x on DjAmmo
Dec 31 03:46:40 <DjAmmo>	!reqlogin OFF
Dec 31 03:46:42 <Cronus>	You Are Now The Live DJ!
**** ENDING LOGGING AT Sat Dec 31 03:47:36 2016

**** BEGIN LOGGING AT Thu Jan  5 00:58:54 2017

[Cronus has address ircbot@493C27.04A8F1.010A50.791F03]
Jan 05 00:58:59 <DjAmmo>	!reqlogin ON
Jan 05 00:59:00 <Cronus>	You Are Now The Live DJ!
Jan 05 01:30:09 <DjAmmo>	!reqlogin OFF
Jan 05 01:30:10 <Cronus>	You Are Now The Live DJ!
**** ENDING LOGGING AT Thu Jan  5 02:45:14 2017

**** BEGIN LOGGING AT Sat Jan  7 17:24:18 2017

[Cronus has address ircbot@493C27.04A8F1.010A50.791F03]
Jan 07 17:24:23 <DjAmmo>	!reqlogin
Jan 07 17:24:25 <Cronus>	You Are Now The Live DJ!
Jan 07 17:24:27 <DjAmmo>	!reqlogin on
Jan 07 17:24:28 <Cronus>	You Are Now The Live DJ!
**** ENDING LOGGING AT Sat Jan  7 19:06:23 2017

**** BEGIN LOGGING AT Mon Jan  9 02:37:07 2017

[Cronus has address ircbot@493C27.04A8F1.010A50.791F03]
Jan 09 02:39:14 *	Notify: lainy is offline (LibraIRC)
Jan 09 02:39:52 *	Notify: lainy is online (LibraIRC)
Jan 09 02:39:52 *	[lainy] (librairc@295415.D1EEA8.BC3000.818778): Web Chatter @ http://librairc.net/chat
Jan 09 02:39:52 *	[lainy] #Lounge 
Jan 09 02:39:52 *	[lainy] irc01-green.librairc.net :LibraIRC CA Server
Jan 09 02:39:52 *	[lainy] is logged in as lainy
Jan 09 02:39:52 *	[lainy] idle 00:00:00, signon: Mon Jan  9 02:39:33
Jan 09 02:39:52 *	[lainy] End of WHOIS list.
Jan 09 02:40:27 <DjAmmo>	!reqlogin ON
Jan 09 02:40:28 <Cronus>	You Are Now The Live DJ!
Jan 09 03:16:14 <Cronus>	Request from MEXICANO in #Radio on IRC: Kygo - Firestone Use !dedicate text to dedicate the song to the person on the IRC Channel
Jan 09 03:30:06 <Cronus>	Request from MEXICANO in #Radio on IRC: David Guetta - Where Them Girls At Use !dedicate text to dedicate the song to the person on the IRC Channel
Jan 09 03:42:48 <Cronus>	Request from MEXICANO in #Radio on IRC: Roll Deep - Good Times Use !dedicate text to dedicate the song to the person on the IRC Channel
Jan 09 04:05:44 <Cronus>	Request from MEXICANO in #Radio on IRC: Markus Schulz - The New World Use !dedicate text to dedicate the song to the person on the IRC Channel
Jan 09 04:23:57 <DjAmmo>	!reqlogin OFF
Jan 09 04:23:58 <Cronus>	You Are Now The Live DJ!
**** ENDING LOGGING AT Mon Jan  9 04:34:14 2017

**** BEGIN LOGGING AT Fri Jan 13 19:46:49 2017

[Cronus has address ircbot@493C27.04A8F1.010A50.791F03]
Jan 13 19:47:05 <DjAmmo>	!reqlogin ON
Jan 13 19:47:07 <Cronus>	You Are Now The Live DJ!
Jan 13 21:19:21 <Cronus>	Request from LilMermaid in #Radio on IRC: DjAmmo to sing :) Use !dedicate text to dedicate the song to the person on the IRC Channel
**** ENDING LOGGING AT Fri Jan 13 21:37:29 2017

**** BEGIN LOGGING AT Tue Jan 17 02:41:01 2017

[Cronus has address ircbot@493C27.04A8F1.010A50.791F03]
Jan 17 02:41:12 <DjAmmo>	!reqlogin ON
Jan 17 02:41:13 <Cronus>	You Are Now The Live DJ!
Jan 17 02:41:59 <Cronus>	Request from immortal-away in #Radio on IRC: onay sahin gugu horon ;D Use !dedicate text to dedicate the song to the person on the IRC Channel
Jan 17 03:10:09 <Cronus>	Request from blackie in #Radio on IRC: trust company-falling apart Use !dedicate text to dedicate the song to the person on the IRC Channel
Jan 17 03:41:19 <Cronus>	Request from kiebla in #Radio on IRC: the misfits- pumpkin head Use !dedicate text to dedicate the song to the person on the IRC Channel
Jan 17 03:56:40 <Cronus>	Request from kiebla in #Radio on IRC: the pot-tool Use !dedicate text to dedicate the song to the person on the IRC Channel
Jan 17 04:05:42 <DjAmmo>	!reqlogin OFF
Jan 17 04:05:43 <Cronus>	You Are Now The Live DJ!
**** ENDING LOGGING AT Tue Jan 17 04:14:22 2017

**** BEGIN LOGGING AT Sat Jan 21 05:32:27 2017

[Cronus has address ircbot@493C27.04A8F1.010A50.791F03]
Jan 21 05:32:33 <DjAmmo>	!reqlogin OFF
Jan 21 05:32:33 <Cronus>	You Are Now The Live DJ!
**** ENDING LOGGING AT Sat Jan 21 07:32:08 2017

**** BEGIN LOGGING AT Wed Jan 25 04:25:54 2017

[Cronus has address ircbot@493C27.04A8F1.010A50.791F03]
Jan 25 04:25:59 <DjAmmo>	!reqlogin ON
Jan 25 04:25:59 <Cronus>	You Are Now The Live DJ!
Jan 25 04:31:11 <DjAmmo>	!reqlogin OFF
Jan 25 04:31:12 <Cronus>	You Are Now The Live DJ!
Jan 25 04:31:15 <DjAmmo>	!reqlogin ON
Jan 25 04:31:15 <Cronus>	You Are Now The Live DJ!
Jan 25 05:00:17 <Cronus>	Request from Guest_3337 in #Radio on IRC: Ariana Grande - Side To Side Use !dedicate text to dedicate the song to the person on the IRC Channel
Jan 25 05:19:00 <Cronus>	Request from Guest_3337 in #Radio on IRC: Armin van Buuren feat. Sharon den Adel - In and Out of Love Use !dedicate text to dedicate the song to the person on the IRC Channel
Jan 25 05:24:04 <Cronus>	Request from _RichGuy in #Radio on IRC: The Weeknd - Starboy Use !dedicate text to dedicate the song to the person on the IRC Channel
Jan 25 05:39:20 <Cronus>	Request from Guest_3337 in #Radio on IRC: Afrojack, Dimitri Vegas, Like Mike and NERVO - The Way We See The World Use !dedicate text to dedicate the song to the person on the IRC Channel
Jan 25 05:39:39 *	Notify: LoverGuy is offline (LibraIRC)
Jan 25 05:42:16 <Cronus>	Request from _RichGuy in #Radio on IRC: Ti�sto & Sneaky Sound System - I Will Be Here Use !dedicate text to dedicate the song to the person on the IRC Channel
Jan 25 05:42:59 *	Notify: LoverGuy is online (LibraIRC)
Jan 25 05:43:00 *	[LoverGuy] (eternally@61DC21.9E96C1.C8AAF8.D2F40B): AARA
Jan 25 05:43:00 *	[LoverGuy] irc01-green.librairc.net :LibraIRC CA Server
Jan 25 05:43:00 *	[LoverGuy] idle 00:00:00, signon: Wed Jan 25 05:42:44
Jan 25 05:43:00 *	[LoverGuy] End of WHOIS list.
**** ENDING LOGGING AT Wed Jan 25 07:29:16 2017

**** BEGIN LOGGING AT Sat Jan 28 05:48:58 2017

[Cronus has address ircbot@493C27.04A8F1.010A50.791F03]
Jan 28 05:49:04 <DjAmmo>	!reglogin ON
Jan 28 05:49:19 <DjAmmo>	!reqlogin ON
Jan 28 05:49:20 <Cronus>	You Are Now The Live DJ!
Jan 28 05:50:54 <Cronus>	Request from Guest_5425 in #Radio on IRC: Calvin Harris - Feel So Close Use !dedicate text to dedicate the song to the person on the IRC Channel
Jan 28 06:18:33 <Cronus>	Request from _Richboy in #Radio on IRC: David Guetta - Titanium Use !dedicate text to dedicate the song to the person on the IRC Channel
Jan 28 06:38:38 <Cronus>	Request from Guest_5425 in #Radio on IRC: DJ Snake - Let Me Love You Use !dedicate text to dedicate the song to the person on the IRC Channel
Jan 28 06:53:46 <Cronus>	Request from _Richboy in #Radio on IRC: DJ Tiesto - Elements of LIfe Use !dedicate text to dedicate the song to the person on the IRC Channel
Jan 28 07:06:02 <Cronus>	Request from Guest_2936 in #Radio on IRC: hOpPy music Use !dedicate text to dedicate the song to the person on the IRC Channel
**** ENDING LOGGING AT Sat Jan 28 07:29:04 2017

**** BEGIN LOGGING AT Thu Feb  2 11:06:23 2017

[Cronus has address ircbot@493C27.04A8F1.010A50.791F03]
Feb 02 11:06:30 <DjAmmo>	!reqlogin OFF
Feb 02 11:06:31 <Cronus>	You Are Now The Live DJ!
**** ENDING LOGGING AT Thu Feb  2 11:44:37 2017

**** BEGIN LOGGING AT Thu Feb  2 12:04:56 2017

[Cronus has address ircbot@493C27.04A8F1.010A50.791F03]
Feb 02 12:05:01 <DjAmmo>	!reqlogin OFF
Feb 02 12:05:02 <Cronus>	You Are Now The Live DJ!
**** BEGIN LOGGING AT Thu Feb  2 12:05:10 2017

[Cronus has address ircbot@493C27.04A8F1.010A50.791F03]
Feb 02 12:05:15 <RammsteinFan>	!reqlogin ON
**** ENDING LOGGING AT Thu Feb  2 12:05:22 2017

**** ENDING LOGGING AT Thu Feb  2 12:22:06 2017

**** BEGIN LOGGING AT Fri Feb  3 17:50:36 2017

[Cronus has address ircbot@493C27.04A8F1.010A50.791F03]
Feb 03 17:50:41 <DjAmmo>	!reqlogin OFF
Feb 03 17:50:43 <Cronus>	You Are Now The Live DJ!
**** ENDING LOGGING AT Fri Feb  3 20:27:04 2017

**** BEGIN LOGGING AT Sat Feb  4 10:13:23 2017

[Cronus has address ircbot@493C27.04A8F1.010A50.791F03]
Feb 04 10:13:31 <DjAmmo>	!reqlogin ON
Feb 04 10:13:32 <Cronus>	You Are Now The Live DJ!
Feb 04 11:53:57 *	Disconnected (Connection reset by peer)
**** ENDING LOGGING AT Sat Feb  4 11:54:10 2017

**** BEGIN LOGGING AT Sat Feb  4 11:57:48 2017

[Cronus has address ircbot@493C27.04A8F1.010A50.791F03]
Feb 04 11:57:54 <DjAmmo>	!reqlogin ON
Feb 04 11:57:55 <Cronus>	You Are Now The Live DJ!
**** ENDING LOGGING AT Sat Feb  4 13:04:39 2017

**** BEGIN LOGGING AT Sat Feb  4 17:48:48 2017

[Cronus has address ircbot@493C27.04A8F1.010A50.791F03]
Feb 04 17:48:53 <DjAmmo>	!reqlogin ON
Feb 04 17:48:54 <Cronus>	You Are Now The Live DJ!
**** ENDING LOGGING AT Sat Feb  4 19:41:58 2017

**** BEGIN LOGGING AT Sun Feb  5 09:55:36 2017

[Cronus has address ircbot@493C27.04A8F1.010A50.791F03]
Feb 05 09:55:41 <DjAmmo>	!reqlogin ON
Feb 05 09:55:42 <Cronus>	You Are Now The Live DJ!
**** ENDING LOGGING AT Sun Feb  5 10:59:33 2017

**** BEGIN LOGGING AT Mon Feb 20 03:56:47 2017

[Cronus has address ircbot@493C27.04A8F1.010A50.791F03]
Feb 20 03:56:52 <DjAmmo>	!reqlogin ON
Feb 20 03:56:53 <Cronus>	You Are Now The Live DJ!
Feb 20 04:28:34 <Cronus>	Request from Max in #Radio on IRC: Ruth B - Lost Boy Use !dedicate text to dedicate the song to the person on the IRC Channel
Feb 20 04:41:06 <Cronus>	Request from Max in #Radio on IRC: Linkin Park - Breaking The Habit Use !dedicate text to dedicate the song to the person on the IRC Channel
Feb 20 05:00:36 <Cronus>	Request from Max in #Radio on IRC: Lara Fabian - Je suis malade Use !dedicate text to dedicate the song to the person on the IRC Channel
**** ENDING LOGGING AT Mon Feb 20 05:18:34 2017

**** BEGIN LOGGING AT Wed Feb 22 00:15:12 2017

[Cronus has address ircbot@493C27.04A8F1.010A50.791F03]
Feb 22 00:15:17 <DjAmmo>	!reqlogin ON
Feb 22 00:15:18 <Cronus>	You Are Now The Live DJ!
Feb 22 00:56:40 *	Disconnected (Connection reset by peer)
Feb 22 00:59:27 *	Disconnected (Remote host closed socket)
Feb 22 00:59:48 *	Disconnected (Remote host closed socket)
**** ENDING LOGGING AT Wed Feb 22 00:59:53 2017

**** BEGIN LOGGING AT Wed Feb 22 01:00:42 2017

[Cronus has address ircbot@493C27.04A8F1.010A50.791F03]
Feb 22 01:00:48 <DjAmmo>	!reqlogin OFF
Feb 22 01:00:49 <Cronus>	You Are Now The Live DJ!
**** ENDING LOGGING AT Wed Feb 22 02:55:33 2017

**** BEGIN LOGGING AT Sat Feb 25 10:11:26 2017

[Cronus has address ircbot@493C27.04A8F1.010A50.791F03]
Feb 25 10:11:36 <DjAmmo>	!reqlogin OFF
Feb 25 10:11:36 <Cronus>	You Are Now The Live DJ!
**** ENDING LOGGING AT Sat Feb 25 10:42:38 2017

**** BEGIN LOGGING AT Fri Mar  3 16:15:44 2017

[Cronus has address ircbot@493C27.04A8F1.010A50.791F03]
Mar 03 16:15:48 <DjAmmo>	!reqlogin ON
Mar 03 16:15:49 <Cronus>	You Are Now The Live DJ!
**** ENDING LOGGING AT Fri Mar  3 16:57:15 2017

**** BEGIN LOGGING AT Fri Mar  3 19:12:26 2017

[Cronus has address ircbot@493C27.04A8F1.010A50.791F03]
Mar 03 19:12:31 <DjAmmo>	!request ON
Mar 03 19:12:32 <Cronus>	Request from DjAmmo on IRC: ON
Mar 03 19:12:32 <Cronus>	Thank you for your request, it has been forwarded on to the Live DJ!
Mar 03 19:12:39 <DjAmmo>	!reqlogin ON
Mar 03 19:12:40 <Cronus>	You Are Now The Live DJ!
Mar 03 20:47:40 <Cronus>	Request from tekisui in #Radio on IRC: slayer Use !dedicate text to dedicate the song to the person on the IRC Channel
Mar 03 21:10:50 <Cronus>	Request from Baby_girl in #Radio on IRC: Skylar Grey - Words Use !dedicate text to dedicate the song to the person on the IRC Channel
Mar 03 21:15:27 <DjAmmo>	!reglogin OFF
**** ENDING LOGGING AT Fri Mar  3 21:27:39 2017

**** BEGIN LOGGING AT Sun Mar 12 01:34:58 2017

[Cronus has address ircbot@493C27.04A8F1.010A50.791F03]
Mar 12 01:35:03 <DjAmmo>	!reqlogin OFF
Mar 12 01:35:04 <Cronus>	You Are Now The Live DJ!
**** ENDING LOGGING AT Sun Mar 12 03:03:09 2017

**** BEGIN LOGGING AT Sun Mar 12 15:26:25 2017

[Cronus has address ircbot@493C27.04A8F1.010A50.791F03]
Mar 12 15:26:31 <DjAmmo>	!reqlogin ON
Mar 12 15:26:32 <Cronus>	You Are Now The Live DJ!
Mar 12 16:28:35 <Cronus>	Request from LilMermaid in #Radio on IRC: Spyro Gyra - Send Me One Line Use !dedicate text to dedicate the song to the person on the IRC Channel
Mar 12 17:13:27 *	Disconnected (Connection reset by peer)
Mar 12 17:13:37 *	Disconnected (Remote host closed socket)
Mar 12 17:13:48 *	Disconnected (Remote host closed socket)
Mar 12 17:13:58 *	Disconnected (Remote host closed socket)
**** ENDING LOGGING AT Sun Mar 12 17:13:59 2017

**** BEGIN LOGGING AT Sun Mar 12 17:15:19 2017

[Cronus has address ircbot@493C27.04A8F1.010A50.791F03]
Mar 12 17:15:24 <DjAmmo>	!reqlogin ON
Mar 12 17:15:25 <Cronus>	You Are Now The Live DJ!
**** ENDING LOGGING AT Sun Mar 12 18:14:00 2017

**** BEGIN LOGGING AT Mon Mar 13 15:09:04 2017

[Cronus has address ircbot@493C27.04A8F1.010A50.791F03]
Mar 13 15:09:08 <DjAmmo>	!reqlogin ON
Mar 13 15:09:10 <Cronus>	You Are Now The Live DJ!
Mar 13 15:10:15 <Cronus>	Request from RammsteinFan in #Radio on IRC: rammstein du ahst Use !dedicate text to dedicate the song to the person on the IRC Channel
Mar 13 15:10:24 <DjAmmo>	!reqlogout
Mar 13 15:10:24 <Cronus>	Request from LilMermaid in #Radio on IRC: No way :D Use !dedicate text to dedicate the song to the person on the IRC Channel
Mar 13 15:10:24 <Cronus>	OK, you are no longer the active DJ
**** ENDING LOGGING AT Mon Mar 13 15:10:37 2017

**** BEGIN LOGGING AT Mon Mar 20 22:54:47 2017

[Cronus has address ircbot@493C27.04A8F1.010A50.791F03]
Mar 20 22:54:53 <DjAmmo>	!reqlogin ON
Mar 20 22:54:54 <Cronus>	You Are Now The Live DJ!
Mar 21 00:06:04 <Cronus>	Request from Naren^ in #Radio on IRC: https://youtu.be/YLoYt8H7kjM Use !dedicate text to dedicate the song to the person on the IRC Channel
Mar 21 00:09:21 <Cronus>	Request from Naren^ in #Radio on IRC: https://youtu.be/icZ-OlVSvb4 Use !dedicate text to dedicate the song to the person on the IRC Channel
Mar 21 00:15:14 <Cronus>	Request from beni in #Radio on IRC: https://www.youtube.com/watch?v=xASHzK7k3-o Use !dedicate text to dedicate the song to the person on the IRC Channel
Mar 21 03:28:54 <DjAmmo>	!reqlogin OFF
Mar 21 03:28:55 <Cronus>	You Are Now The Live DJ!
**** ENDING LOGGING AT Tue Mar 21 03:35:12 2017

**** BEGIN LOGGING AT Sat Mar 25 01:51:14 2017

[Cronus has address ircbot@493C27.04A8F1.010A50.791F03]
Mar 25 02:27:36 <DjAmmo>	!reqlogin OFF
Mar 25 02:27:37 <Cronus>	You Are Now The Live DJ!
**** ENDING LOGGING AT Sat Mar 25 04:36:47 2017

**** BEGIN LOGGING AT Sun Mar 26 05:20:38 2017

[Cronus has address ircbot@493C27.04A8F1.010A50.791F03]
Mar 26 05:20:46 <DjAmmo>	!reqlogin OFF
Mar 26 05:20:46 <Cronus>	You Are Now The Live DJ!
**** ENDING LOGGING AT Sun Mar 26 08:18:45 2017

**** BEGIN LOGGING AT Tue Mar 28 01:04:38 2017

[Cronus has address ircbot@493C27.04A8F1.010A50.791F03]
Mar 28 01:04:42 <DjAmmo>	!reqlogin OFF
Mar 28 01:04:43 <Cronus>	You Are Now The Live DJ!
Mar 28 01:38:25 <DjAmmo>	!reqlogin ON
Mar 28 01:38:26 <Cronus>	You Are Now The Live DJ!
Mar 28 01:48:46 <DjAmmo>	!reqlogin OFF
Mar 28 01:48:46 <Cronus>	You Are Now The Live DJ!
**** ENDING LOGGING AT Tue Mar 28 03:18:41 2017

**** BEGIN LOGGING AT Wed Mar 29 21:46:24 2017

[Cronus has address ircbot@493C27.04A8F1.010A50.791F03]
Mar 29 21:46:27 <DjAmmo>	!reqlogin ON
Mar 29 21:46:28 <Cronus>	You Are Now The Live DJ!
Mar 29 22:34:22 <Cronus>	Request from Smokinpanda in #Radio on IRC: rammstein - ich Will Use !dedicate text to dedicate the song to the person on the IRC Channel
Mar 29 22:56:06 <DjAmmo>	!dedicate Smokinpanda
Mar 29 22:56:06 <Cronus>	Dedicated To Message Sent!
Mar 29 23:04:05 <Cronus>	Request from Smokinpanda in #Radio on IRC: motorhead - the game Use !dedicate text to dedicate the song to the person on the IRC Channel
Mar 29 23:20:19 <Cronus>	Request from Smokinpanda in #Radio on IRC: DjAmmo ~ Jana Gana Mana Use !dedicate text to dedicate the song to the person on the IRC Channel
**** ENDING LOGGING AT Wed Mar 29 23:36:22 2017

**** BEGIN LOGGING AT Sun Apr  2 11:50:41 2017

[Cronus has address ircbot@493C27.04A8F1.010A50.791F03]
Apr 02 11:50:52 <DjAmmo>	!reqlogin ON
Apr 02 11:50:53 <Cronus>	You Are Now The Live DJ!
**** ENDING LOGGING AT Sun Apr  2 13:09:45 2017

**** BEGIN LOGGING AT Fri Apr  7 05:51:24 2017

[Cronus has address ircbot@493C27.04A8F1.010A50.791F03]
Apr 07 05:51:54 <DjAmmo>	!reqlogin ON
Apr 07 05:51:55 <Cronus>	You Are Now The Live DJ!
Apr 07 05:52:22 <Cronus>	Request from _Deadpool in #Radio on IRC: The Chainsmokers - Closer Use !dedicate text to dedicate the song to the person on the IRC Channel
Apr 07 05:58:48 <Cronus>	Request from Guest_9926 in #Radio on IRC: David Guetta - When Love Takes Over Use !dedicate text to dedicate the song to the person on the IRC Channel
Apr 07 06:11:46 <Cronus>	Request from _Deadpool in #Radio on IRC: Afrojack and Eva Simons - Take Over Control Use !dedicate text to dedicate the song to the person on the IRC Channel
Apr 07 06:22:28 <Cronus>	Request from Guest_9926 in #Radio on IRC: Markus Schulz - The New World Use !dedicate text to dedicate the song to the person on the IRC Channel
Apr 07 06:23:35 *	Disconnected (Connection reset by peer)
**** BEGIN LOGGING AT Sun Apr  9 08:35:05 2017

[Cronus has address ircbot@493C27.04A8F1.010A50.791F03]
Apr 09 08:35:09 <DjAmmo>	!reqlogin ON
Apr 09 08:35:10 <Cronus>	You Are Now The Live DJ!
Apr 09 08:55:13 <DjAmmo>	!dedicate Louise55
Apr 09 08:55:14 <Cronus>	Dedicated To Message Sent!
Apr 09 09:11:39 <DjAmmo>	!dedicate Louise55
Apr 09 09:11:40 <Cronus>	Dedicated To Message Sent!
Apr 09 09:24:17 <DjAmmo>	!dedicate Louise55
Apr 09 09:24:18 <Cronus>	Dedicated To Message Sent!
**** ENDING LOGGING AT Sun Apr  9 10:46:49 2017

**** BEGIN LOGGING AT Mon Apr 10 08:29:36 2017

[Cronus has address ircbot@493C27.04A8F1.010A50.791F03]
Apr 10 08:29:43 <DjAmmo>	!reqlogin OFF
Apr 10 08:29:43 <Cronus>	You Are Now The Live DJ!
**** ENDING LOGGING AT Mon Apr 10 10:16:43 2017

**** BEGIN LOGGING AT Thu Apr 27 15:06:28 2017

[Cronus has address ircbot@493C27.04A8F1.010A50.791F03]
Apr 27 15:06:34 <DjAmmo>	!reqlogin OFF
Apr 27 15:06:37 <Cronus>	You Are Now The Live DJ!
**** ENDING LOGGING AT Thu Apr 27 17:50:20 2017

**** BEGIN LOGGING AT Sun Apr 30 14:23:43 2017

[Cronus has address ircbot@493C27.04A8F1.010A50.791F03]
Apr 30 14:23:48 <DjAmmo>	!reqlogin ON
Apr 30 14:23:49 <Cronus>	You Are Now The Live DJ!
Apr 30 14:32:49 <DjAmmo>	!reqlogin OFF
Apr 30 14:32:49 <Cronus>	You Are Now The Live DJ!
Apr 30 14:49:59 <DjAmmo>	!reqlogin ON
Apr 30 14:50:00 <Cronus>	You Are Now The Live DJ!
Apr 30 15:10:37 *	Disconnected (Connection reset by peer)
**** ENDING LOGGING AT Sun Apr 30 15:11:11 2017

**** BEGIN LOGGING AT Sun Apr 30 17:27:31 2017

[Cronus has address ircbot@493C27.04A8F1.010A50.791F03]
Apr 30 17:27:40 <DjAmmo>	!reqlogin ON
Apr 30 17:27:42 <Cronus>	You Are Now The Live DJ!
