**** BEGIN LOGGING AT Thu Oct 20 01:47:39 2016

[DeWdRoPs has address Chat@0985EB.170366.909CF5.B50CCC]
Oct 20 01:47:39 <DeWdRoPs>	Veeeeeeeer.

**** BEGIN LOGGING AT Thu Nov 10 20:42:26 2016

[DeWdRoPs has address Chat@19B116.11B765.073BAF.F9BAAD]
Nov 10 20:42:26 <DeWdRoPs>	Veer.. Is everything alright ?
Nov 10 20:42:57 <RammsteinFan>	kinda
Nov 10 20:43:05 <RammsteinFan>	hows you?
Nov 10 20:43:11 <DeWdRoPs>	Oh okie. Dad ?
Nov 10 20:43:15 <DeWdRoPs>	I am okie. Ty
Nov 10 20:43:27 <DeWdRoPs>	How are you ?
Nov 10 20:43:29 <RammsteinFan>	yeah
Nov 10 20:43:30 <RammsteinFan>	dad
Nov 10 20:43:35 <RammsteinFan>	im worried for my mom
Nov 10 20:43:40 <DeWdRoPs>	Hmmm. 
Nov 10 20:43:42 <RammsteinFan>	she and granny are alone there
Nov 10 20:44:00 *	Notify: LilMermaid is offline (LibraIRC)
Nov 10 20:44:10 <DeWdRoPs>	Hmm. Don't worry, Veer. Dad will be fine and Mom will be fine too. Inshallah :-)
Nov 10 20:44:18 <RammsteinFan>	thanks :)
Nov 10 20:44:23 <DeWdRoPs>	Hugsssssssssssss :)
Nov 10 20:44:29 <RammsteinFan>	hugggsss :)
Nov 10 20:44:30 <DeWdRoPs>	I am glad to see you.
Nov 10 20:44:41 <RammsteinFan>	im glad to see you too
Nov 10 20:44:44 <DeWdRoPs>	I wasn't missing you. Still :P
Nov 10 20:44:50 <RammsteinFan>	lol
Nov 10 20:44:58 <RammsteinFan>	i know you werent missing me 
Nov 10 20:45:11 <DeWdRoPs>	Ah. You do ? Okie :D
Nov 10 20:45:17 <RammsteinFan>	:)
Nov 10 20:45:49 <RammsteinFan>	congrats on you academic success :)
Nov 10 20:45:51 <DeWdRoPs>	Just don't worry, okie ? Sab will be thik. Inshallah :)
Nov 10 20:45:57 <RammsteinFan>	what did you get as present?
Nov 10 20:46:03 <DeWdRoPs>	Thank youuuuuuuuuuuu, Veeeeer :)
Nov 10 20:46:20 <RammsteinFan>	yeah i hope so
Nov 10 20:46:40 <RammsteinFan>	i cant do anything sitting here anyway
Nov 10 20:46:56 <DeWdRoPs>	Had 2 parties. And got gifts too ! 
Nov 10 20:47:00 <DeWdRoPs>	I know, Veer.
Nov 10 20:47:06 <RammsteinFan>	our neighbours are very helpful but still having me in the house is diff
Nov 10 20:47:10 <DeWdRoPs>	But atleast you were there for 2 weeks.
Nov 10 20:47:22 <RammsteinFan>	my mom and granny said so to me 
Nov 10 20:47:25 <DeWdRoPs>	I understand.
Nov 10 20:47:35 <RammsteinFan>	cool!
Nov 10 20:47:42 <RammsteinFan>	what gifts?
Nov 10 20:48:18 <DeWdRoPs>	Lol. Dress, jewellery, teddy bears, pen sets...
Nov 10 20:48:32 <RammsteinFan>	nice
Nov 10 20:48:55 <DeWdRoPs>	I am just happy that I made everyone happy and proud. Myself too :)
Nov 10 20:49:08 <RammsteinFan>	:)
Nov 10 20:49:23 <DeWdRoPs>	Hugsssssssss & Hugsssssssssssssss :)
Nov 10 20:49:35 <RammsteinFan>	hugggsss
Nov 10 20:50:00 <RammsteinFan>	party with friends or family?
Nov 10 20:50:06 <DeWdRoPs>	Other things are happening too in my life. But nothing is sure yet. Once everything is set, I will tell you !!
Nov 10 20:50:14 <DeWdRoPs>	Family and relatives.
Nov 10 20:50:54 <RammsteinFan>	what other things?
Nov 10 20:51:09 <RammsteinFan>	marriage?
Nov 10 20:51:28 <DeWdRoPs>	Unofficially. 
Nov 10 20:51:32 <RammsteinFan>	i can dj at your marriage :)
Nov 10 20:51:42 <DeWdRoPs>	Yayyyyy :)
Nov 10 20:51:47 <RammsteinFan>	:)
Nov 10 20:52:06 *	Notify: LilMermaid is online (LibraIRC)
Nov 10 20:52:06 *	[LilMermaid] (Jellofish@7252DD.7C33E4.6EBF4F.FF26E2): Apocalypse
Nov 10 20:52:06 *	[LilMermaid] @#Middle_East &#ME-Help #Lounge #40_something #friends @#trivia 
Nov 10 20:52:06 *	[LilMermaid] irc01-green.librairc.net :LibraIRC CA Server
Nov 10 20:52:06 *	[LilMermaid] is logged in as LilMermaid
Nov 10 20:52:06 *	[LilMermaid] idle 00:00:09, signon: Thu Nov 10 18:09:39
Nov 10 20:52:06 *	[LilMermaid] End of WHOIS list.
Nov 10 20:52:06 <DeWdRoPs>	But, I want to finish my studies, Veeeeer. I just hope I get time for that.
Nov 10 20:52:12 <RammsteinFan>	yeah
Nov 10 20:52:14 <RammsteinFan>	sure
Nov 10 20:52:21 <DeWdRoPs>	Inshallah :)
Nov 10 20:52:37 <RammsteinFan>	and some travel too
Nov 10 20:52:49 <RammsteinFan>	but you could do that after marriage too
Nov 10 20:52:53 <DeWdRoPs>	Yesssss. Just have some 'me-time'.
Nov 10 20:53:07 <DeWdRoPs>	I know. I am only thinking about my studies now.
Nov 10 20:53:08 <RammsteinFan>	yes
Nov 10 20:53:43 <DeWdRoPs>	Anyways, no matter what we wish/want, He has already made plans for us and things will happen accordingly :-)
Nov 10 20:54:11 <RammsteinFan>	destiny eh?
Nov 10 20:54:40 <DeWdRoPs>	Do you hear a feeble sound of pessimism there? :P
Nov 10 20:55:07 <RammsteinFan>	:)
Nov 10 20:55:15 <DeWdRoPs>	:)
Nov 10 20:55:16 <RammsteinFan>	what do you think?
Nov 10 20:56:14 <DeWdRoPs>	It's like I have let my destiny take its course and I will not do anything !! 
Nov 10 20:56:45 <DeWdRoPs>	Kaos questions has huge bonus points.
Nov 10 20:57:03 <RammsteinFan>	o.O
Nov 10 20:57:07 <DeWdRoPs>	So everyone make sure that they answer atleast one question :P
Nov 10 20:57:47 <RammsteinFan>	yes
Nov 10 20:58:29 <DeWdRoPs>	trivia was down for almost 3 days and then when it came back, Dragon made some changes like these.
Nov 10 20:58:56 <RammsteinFan>	i see
Nov 10 20:59:04 <DeWdRoPs>	Yes :)
Nov 10 20:59:16 <RammsteinFan>	i was thinking why all of a sudden you were talking about kaos
Nov 10 20:59:25 <DeWdRoPs>	Ha ha :P
Nov 10 20:59:39 <DeWdRoPs>	It just came to my mind and said that :D
Nov 10 21:00:35 <RammsteinFan>	ok :)
Nov 10 21:00:57 <DeWdRoPs>	:) Hugssssssssssss :)
Nov 10 21:01:03 <DeWdRoPs>	I am just happy to see you :)
Nov 10 21:01:19 <DeWdRoPs>	Though I did not miss you :P
Nov 10 21:01:26 <RammsteinFan>	hugggsss 
Nov 10 21:01:30 <RammsteinFan>	same here
Nov 10 21:05:11 <DeWdRoPs>	:):):):):):)
Nov 10 21:25:24 <DeWdRoPs>	Take care, Veeeeer. Weekend here. Will be going out inna while :)
Nov 10 21:25:29 <DeWdRoPs>	And don't worry, pleaseeeee.
Nov 10 21:25:36 <DeWdRoPs>	Dad will be fine. Inshallah :)
Nov 10 21:25:39 <DeWdRoPs>	Hugssssssssssssssssssssssssss :)
Nov 10 21:25:48 <DeWdRoPs>	Take care. Goood Night. See you soooooooooooooooooooooon :)
Nov 10 21:26:15 *	DeWdRoPs has quit (Quit: Reason filtered)
**** ENDING LOGGING AT Thu Nov 10 21:32:27 2016

**** BEGIN LOGGING AT Fri Nov 11 18:23:03 2016

[DeWdRoPs has address Chat@19B116.11B765.073BAF.F9BAAD]
Nov 11 18:23:03 <DeWdRoPs>	Hugsssssssssssssssss, Veer :-)
Nov 11 18:23:06 <DeWdRoPs>	How is Dad ?
Nov 11 18:23:29 <RammsteinFan>	hugggs
Nov 11 18:23:31 <RammsteinFan>	hes ok
Nov 11 18:23:52 <DeWdRoPs>	Hmmm. 
Nov 11 18:23:59 <DeWdRoPs>	Have you stopped smiling ?
Nov 11 18:24:08 <RammsteinFan>	no
Nov 11 18:24:10 <RammsteinFan>	i have not
Nov 11 18:24:16 <DeWdRoPs>	Okie :)
Nov 11 18:24:50 <RammsteinFan>	thanks for your concern :)
Nov 11 18:25:09 <DeWdRoPs>	Ahem. Thanks ? Grrrrrrrrrr !
Nov 11 18:25:15 <DeWdRoPs>	I am down with fever and cold.
Nov 11 18:25:24 <RammsteinFan>	ah
Nov 11 18:25:26 <DeWdRoPs>	I was taken to the emergency yesterday night !
Nov 11 18:25:28 <RammsteinFan>	:(
Nov 11 18:25:30 <RammsteinFan>	omg
Nov 11 18:25:35 <RammsteinFan>	take care nazu
Nov 11 18:25:55 <DeWdRoPs>	Yes, Veeeer. I am bit better now.
Nov 11 18:26:01 <RammsteinFan>	how are you now?
Nov 11 18:26:02 <DeWdRoPs>	It's something I ate, I guess.
Nov 11 18:26:07 <DeWdRoPs>	I have vomiting too.
Nov 11 18:26:14 <RammsteinFan>	oh no
Nov 11 18:26:18 <RammsteinFan>	take care
Nov 11 18:26:22 <DeWdRoPs>	I will :)
Nov 11 18:26:25 <DeWdRoPs>	Hugsssssssssssssss :)
Nov 11 18:27:03 <RammsteinFan>	hugggsss
Nov 11 18:38:20 *	DeWdRoPs has quit (Quit: Reason filtered)
**** ENDING LOGGING AT Fri Nov 11 18:38:31 2016

**** BEGIN LOGGING AT Sat Nov 12 11:51:12 2016

[DeWdRoPs has address Chat@19B116.11B765.073BAF.F9BAAD]
Nov 12 11:51:12 <DeWdRoPs>	Hugsssssssssss, Veer. Please don't worry. Dad will be fine, Inshallah !
Nov 12 11:51:36 <RammsteinFan>	huggsss
Nov 12 11:51:42 <RammsteinFan>	thanks
Nov 12 11:51:49 <RammsteinFan>	mom called today...
Nov 12 11:51:55 <RammsteinFan>	said he is better
Nov 12 11:52:06 <DeWdRoPs>	Yayyy. Good news :)
Nov 12 11:52:11 <RammsteinFan>	:)
Nov 12 11:52:46 <DeWdRoPs>	He will be fine. I am sure. Inshallah. Alhumdulilaah. But you take care of yourself, Okie ?
Nov 12 11:53:00 <RammsteinFan>	i will
Nov 12 11:53:08 <DeWdRoPs>	:)
Nov 12 11:53:14 <DeWdRoPs>	Hugsssssssss & Hugssssssssss :)
Nov 12 11:53:19 <RammsteinFan>	hugsss :)
Nov 12 11:54:14 <DeWdRoPs>	:):):)
**** ENDING LOGGING AT Sat Nov 12 12:02:26 2016

**** BEGIN LOGGING AT Sat Nov 12 22:07:13 2016

[DeWdRoPs has address Chat@19B116.11B765.073BAF.F9BAAD]
Nov 12 22:07:13 <DeWdRoPs>	Hugssssssssssssssssssssssss :) Tc 
Nov 12 22:07:20 *	DeWdRoPs has quit (Quit: Reason filtered)
**** ENDING LOGGING AT Sat Nov 12 22:07:50 2016

**** BEGIN LOGGING AT Tue Nov 15 22:25:22 2016

[DeWdRoPs has address Chat@19B116.11B765.073BAF.F9BAAD]
Nov 15 22:25:22 <DeWdRoPs>	Veer..
Nov 15 22:25:43 <RammsteinFan>	nazu
Nov 15 22:25:50 <RammsteinFan>	yeah?
Nov 15 22:25:54 <DeWdRoPs>	Did you check your mail ?
Nov 15 22:26:40 <RammsteinFan>	no nazu
Nov 15 22:26:51 <DeWdRoPs>	Ah, okie. Just asking :-)
Nov 15 22:27:17 <RammsteinFan>	why?
Nov 15 22:27:24 <RammsteinFan>	sent me one more mail did ya?
Nov 15 22:27:33 <RammsteinFan>	:)
Nov 15 22:27:41 <DeWdRoPs>	I did mail you. Yes.
Nov 15 22:27:53 <RammsteinFan>	sorry havent checked it yet
Nov 15 22:27:56 <RammsteinFan>	checking it now
Nov 15 22:28:11 <RammsteinFan>	whoa!
Nov 15 22:28:16 <RammsteinFan>	is that your pic??
Nov 15 22:28:32 <DeWdRoPs>	Lol. Yes. The 'little' Nazu
Nov 15 22:29:33 <RammsteinFan>	awww so cute :)
Nov 15 22:29:53 <RammsteinFan>	looks like you were angry at the photographer lol
Nov 15 22:29:58 <DeWdRoPs>	Lol..
Nov 15 22:30:07 <DeWdRoPs>	I always used to cry when they took pictures.
Nov 15 22:30:09 <RammsteinFan>	keeding though
Nov 15 22:30:16 <RammsteinFan>	ah yes i thought so
Nov 15 22:30:18 <DeWdRoPs>	I was scared of the flash light, they all say. Lol
Nov 15 22:30:23 <RammsteinFan>	loool
Nov 15 22:30:25 <RammsteinFan>	ok
Nov 15 22:30:26 <DeWdRoPs>	I felt like 'lightning'.
Nov 15 22:30:28 <RammsteinFan>	happens :)
Nov 15 22:30:44 <RammsteinFan>	are you stil scared of flashlights? :P
Nov 15 22:31:07 <DeWdRoPs>	Not really :P
Nov 15 22:31:24 <DeWdRoPs>	And I forgot.
Nov 15 22:31:29 <DeWdRoPs>	Hugsssssss, Veer :)
Nov 15 22:31:33 <RammsteinFan>	huggsss :)
Nov 15 22:32:07 <DeWdRoPs>	How is Dad ?
Nov 15 22:32:45 <RammsteinFan>	kinda fine
Nov 15 22:33:00 <RammsteinFan>	im calling mom everday
Nov 15 22:33:26 <RammsteinFan>	she is a tough lady!
Nov 15 22:33:31 <DeWdRoPs>	Mashallah :)
Nov 15 22:33:36 <RammsteinFan>	managing all of this on her own
Nov 15 22:33:57 *	Notify: AZ is offline (LibraIRC)
Nov 15 22:34:20 <DeWdRoPs>	Yes. She knows she has to. And you are there, physically and mentally and morally.
Nov 15 22:34:37 <RammsteinFan>	physically im not there
Nov 15 22:35:27 <DeWdRoPs>	No. But whenever she needs you, you can just run to her :)
Nov 15 22:35:39 <RammsteinFan>	yes i can
Nov 15 22:35:43 <RammsteinFan>	only this year
Nov 15 22:36:02 <RammsteinFan>	next year i will probably move to my hometown
Nov 15 22:36:21 <DeWdRoPs>	Ah. That will be better, Veer. 
Nov 15 22:36:54 <DeWdRoPs>	I guess it's time that you be there with them, for them.
Nov 15 22:39:00 <RammsteinFan>	yeah
Nov 15 22:39:09 <RammsteinFan>	im tired of bangalore too
Nov 15 22:39:22 <DeWdRoPs>	But you will still log into trivia ?
Nov 15 22:39:38 <RammsteinFan>	i dont know yet
Nov 15 22:39:56 <DeWdRoPs>	Oh. So am I going to lose you ?
Nov 15 22:40:05 <RammsteinFan>	i am thinking of taking up a teaching job and part time startup company
Nov 15 22:40:12 <RammsteinFan>	i will log on sundays
Nov 15 22:40:18 <RammsteinFan>	so dont worry :)
Nov 15 22:40:20 <DeWdRoPs>	Ah. Then you will be very busy.
Nov 15 22:40:26 <DeWdRoPs>	Hmmm.
Nov 15 22:40:58 <RammsteinFan>	ill email you from time to time
Nov 15 22:41:15 <DeWdRoPs>	You.. Will.. email... Me????????
Nov 15 22:41:20 <DeWdRoPs>	Yes. I know. I know.
Nov 15 22:41:25 <DeWdRoPs>	It will be always me. Lol
Nov 15 22:41:51 <RammsteinFan>	well ill reply to you :)
Nov 15 22:42:55 <DeWdRoPs>	Okie, Veer :) Let's see.
Nov 15 22:42:57 <DeWdRoPs>	:P
Nov 15 22:43:01 <RammsteinFan>	:)
Nov 15 22:43:04 <RammsteinFan>	ok gotta go now
Nov 15 22:43:06 <RammsteinFan>	dinner time
Nov 15 22:43:22 <RammsteinFan>	laters:)
Nov 15 22:43:23 <DeWdRoPs>	Okie. Bon Appetit.
Nov 15 22:43:26 <RammsteinFan>	hugss :)
Nov 15 22:43:28 <DeWdRoPs>	Hugsssssssssss. Take care :)
Nov 15 22:43:52 <RammsteinFan>	you too :)
**** ENDING LOGGING AT Tue Nov 15 22:43:55 2016

**** BEGIN LOGGING AT Fri Nov 18 18:27:02 2016

[DeWdRoPs has address Chat@19B116.11B765.5984C8.108C83]
Nov 18 18:27:02 <DeWdRoPs>	Veeeeeeeeeeeer ..
Nov 18 18:27:28 <RammsteinFan>	nazu....
Nov 18 18:27:33 <RammsteinFan>	hugggssss :)
Nov 18 18:27:38 <DeWdRoPs>	Hugsssssssssss :)
Nov 18 18:27:43 <DeWdRoPs>	How is Dad ? How are you ?
Nov 18 18:27:51 <RammsteinFan>	hes ok
Nov 18 18:27:54 <RammsteinFan>	im ok
Nov 18 18:28:02 <RammsteinFan>	how are you?
Nov 18 18:28:35 <DeWdRoPs>	I am okie too. Thank you :)
Nov 18 18:28:37 <DeWdRoPs>	Weekend here.
Nov 18 18:28:49 <RammsteinFan>	good ;)
Nov 18 18:28:50 <RammsteinFan>	:)
Nov 18 18:29:12 <DeWdRoPs>	:):)
Nov 18 18:30:12 <RammsteinFan>	:)
Nov 18 18:30:38 <DeWdRoPs>	I don't miss you :P
Nov 18 18:30:49 <RammsteinFan>	good :P
Nov 18 18:30:58 <DeWdRoPs>	Lol :) Hugsssss :)
Nov 18 18:31:13 <RammsteinFan>	huggggss :)
Nov 18 18:35:23 <DeWdRoPs>	Dj-ing?
Nov 18 18:35:42 <RammsteinFan>	yeah will do it in a while
Nov 18 18:35:56 <DeWdRoPs>	Okie, Veer :)
Nov 18 19:24:50 <DeWdRoPs>	Take care, Veeeer. Hugssssssss :)
Nov 18 19:25:08 <RammsteinFan>	tc hugssss :)
Nov 18 19:25:08 <DeWdRoPs>	Hope mom, granny and sis doing good.
Nov 18 19:25:13 <DeWdRoPs>	Good Night :)
Nov 18 19:25:17 <DeWdRoPs>	See you sooooooooooon :)
Nov 18 19:25:40 <RammsteinFan>	good night :)
Nov 18 19:25:43 <RammsteinFan>	see you later!
Nov 18 19:26:06 <DeWdRoPs>	Laters :)
Nov 18 19:26:39 *	Notify: DeWdRoPs is offline (LibraIRC)
Nov 18 19:26:39 *	DeWdRoPs has quit (Quit: Reason filtered)
Nov 18 19:26:39 *	Notify: DeWdRoPs is offline (LibraIRC)
**** ENDING LOGGING AT Fri Nov 18 19:42:18 2016

**** BEGIN LOGGING AT Sat Nov 19 13:01:58 2016

[DeWdRoPs has address Chat@19B116.11B765.5984C8.108C83]
Nov 19 13:01:58 <DeWdRoPs>	Hugssssssssssssss, Veeeeer. Take care. Laters :)
Nov 19 13:02:03 <DeWdRoPs>	And yes..
Nov 19 13:02:16 <DeWdRoPs>	It's my birthday tomorrow. I will be 25. Yayyyyyyyyyyyy :)
Nov 19 13:04:06 *	DeWdRoPs has quit (Quit: Reason filtered)
**** ENDING LOGGING AT Sat Nov 19 13:10:38 2016

**** BEGIN LOGGING AT Sun Nov 20 16:34:45 2016

[DeWdRoPs has address Chat@19B116.11B765.5984C8.108C83]
Nov 20 16:34:49 <RammsteinFan>	happy bday dew :)
Nov 20 16:34:55 <RammsteinFan>	lots and lots of hugssss :)
Nov 20 16:35:09 <DeWdRoPs>	Thank youuuuuuuuuuuuuu, Veer :)
Nov 20 16:35:15 <DeWdRoPs>	Hugsssssssssss and Hugsssssssssss :)
Nov 20 16:35:46 <DeWdRoPs>	How are you ? How goes the Sunday ?
Nov 20 16:36:25 <RammsteinFan>	lazy sunday
Nov 20 16:36:35 <RammsteinFan>	so decided to dj
Nov 20 16:37:09 <DeWdRoPs>	Ah. Dj-ing ?
Nov 20 16:37:17 <RammsteinFan>	kinda
Nov 20 16:37:26 <RammsteinFan>	no requests though
Nov 20 16:37:36 <DeWdRoPs>	Ah, I see :)
Nov 20 16:38:05 <RammsteinFan>	:)
Nov 20 16:38:11 <RammsteinFan>	radio is like a library today
Nov 20 16:38:24 <DeWdRoPs>	Hmmm. Library ? Why Veer ?
Nov 20 16:38:46 <DeWdRoPs>	Ah. Quiet ?
Nov 20 16:39:18 <RammsteinFan>	yeah
Nov 20 16:40:21 <RammsteinFan>	so how many presents did you get?
Nov 20 16:40:30 <DeWdRoPs>	Ahem. Got a LOT.
Nov 20 16:40:38 <DeWdRoPs>	I did not unwrap them yet.
Nov 20 16:41:00 <RammsteinFan>	i can guess what one of em will be :)
Nov 20 16:41:18 <DeWdRoPs>	And what would that be ? :)
Nov 20 16:42:21 <RammsteinFan>	cerelac :D
Nov 20 16:42:34 <DeWdRoPs>	Lol :D 
Nov 20 16:42:46 <DeWdRoPs>	More than one for sure :P
Nov 20 16:44:27 <RammsteinFan>	:)
Nov 20 16:44:36 <DeWdRoPs>	:)
Nov 20 16:46:20 <DeWdRoPs>	How is Dad, Veeeer ? All good back home ?
Nov 20 16:46:35 <RammsteinFan>	well
Nov 20 16:46:39 <RammsteinFan>	kinda
Nov 20 16:46:59 <RammsteinFan>	so how many presents did you get in all?
Nov 20 16:47:05 <DeWdRoPs>	Hmmm. Inshallah, all will be fine :)
Nov 20 16:47:16 <RammsteinFan>	i gues
Nov 20 16:47:17 <RammsteinFan>	s
Nov 20 16:47:17 <DeWdRoPs>	Lots of them, Veeeer. I did not count.
Nov 20 16:47:23 <RammsteinFan>	i see
Nov 20 16:47:47 <RammsteinFan>	how big was the cake?
Nov 20 16:48:09 <DeWdRoPs>	The party is today night.
Nov 20 16:48:14 <DeWdRoPs>	I did not cut the cake yet.
Nov 20 16:48:21 <RammsteinFan>	nice
Nov 20 16:48:38 <RammsteinFan>	here we celebrate bday at 12 am previous night exactly
Nov 20 16:48:44 <DeWdRoPs>	Yes. Here too.
Nov 20 16:48:58 <DeWdRoPs>	But Dad was away.
Nov 20 16:49:03 <RammsteinFan>	i see
Nov 20 16:49:34 <DeWdRoPs>	Yesss. So we decided to celebrate it today :)
Nov 20 16:49:47 <RammsteinFan>	sure
Nov 20 16:49:57 <DeWdRoPs>	Sugar :)
Nov 20 16:50:26 <RammsteinFan>	:)
Nov 20 16:50:32 <DeWdRoPs>	There is one more on Friday. Today's party is for family and very close relatives.
Nov 20 16:50:44 <DeWdRoPs>	Friday.. it will be for friends and others :)
Nov 20 16:51:14 <RammsteinFan>	nice
Nov 20 16:51:17 <RammsteinFan>	have fun :)
Nov 20 16:51:34 <DeWdRoPs>	Thank you, Veeeeeeeeeeeeeeeer :):)
Nov 20 16:51:47 <DeWdRoPs>	I love lofe loVe this time of the year :P
Nov 20 16:52:20 <RammsteinFan>	sure :)
Nov 20 16:52:35 <DeWdRoPs>	:):) Hugssssssssssssssss :):)
Nov 20 17:03:03 <RammsteinFan>	hugsss :)
Nov 20 17:04:19 <DeWdRoPs>	:):):) Hugsssssssssss +1 :):):)
Nov 20 17:04:30 <RammsteinFan>	huggssss :)
Nov 20 17:04:42 <DeWdRoPs>	:) Veeeeeeeeeeeeeeeeeeeeeeer :)
**** ENDING LOGGING AT Sun Nov 20 17:19:49 2016

**** BEGIN LOGGING AT Sun Nov 20 17:57:52 2016

[DeWdRoPs has address Chat@19B116.11B765.5984C8.108C83]
Nov 20 17:57:52 <DeWdRoPs>	Time to get ready. Laters, Veeeeeeeeeeeer :)
Nov 20 17:57:57 <DeWdRoPs>	Good Night. Take care :)
Nov 20 17:58:02 <DeWdRoPs>	Hugssssssssssssssssss :)
Nov 20 17:58:05 <DeWdRoPs>	See you soon :)
Nov 20 17:58:11 <RammsteinFan>	bye :)
Nov 20 17:58:51 *	DeWdRoPs has quit (Quit: Reason filtered)
**** ENDING LOGGING AT Sun Nov 20 17:58:57 2016

**** BEGIN LOGGING AT Tue Nov 22 22:05:47 2016

[DeWdRoPs has address Chat@19B116.11B765.5984C8.108C83]
Nov 22 22:05:47 <DeWdRoPs>	Smile for everyone, and I have to ask for mine !!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!1 :-/
Nov 22 22:06:15 <RammsteinFan>	hmmm
Nov 22 22:06:24 <RammsteinFan>	i am djing too
Nov 22 22:06:31 <DeWdRoPs>	I am kidding :)
Nov 22 22:06:34 <DeWdRoPs>	Hugssssssssssssss :)
Nov 22 22:06:37 <RammsteinFan>	hmmm
Nov 22 22:06:57 <RammsteinFan>	hugggs 
Nov 22 22:06:59 <RammsteinFan>	:)
Nov 22 22:07:03 <DeWdRoPs>	:):)
Nov 22 22:07:38 <DeWdRoPs>	All good ? With you, Dad, Mom ? Sister, Granny ?
Nov 22 22:07:47 <RammsteinFan>	yes
Nov 22 22:08:09 <DeWdRoPs>	Alright.
Nov 22 22:08:39 <RammsteinFan>	:)
Nov 22 22:09:10 <DeWdRoPs>	:):)
Nov 22 22:09:56 <DeWdRoPs>	Veeeeerrrr...
Nov 22 22:11:20 <RammsteinFan>	yeah?
Nov 22 22:11:35 <DeWdRoPs>	May I ask you something ?
Nov 22 22:11:53 <RammsteinFan>	sure 
Nov 22 22:12:07 <DeWdRoPs>	You don't like me anymore ?
Nov 22 22:12:08 <RammsteinFan>	since when did you need permission?
Nov 22 22:12:16 <RammsteinFan>	what?
Nov 22 22:12:23 <DeWdRoPs>	I am asking.
Nov 22 22:12:32 <RammsteinFan>	no i still like you
Nov 22 22:12:37 <RammsteinFan>	why would you ask me that?
Nov 22 22:12:38 <DeWdRoPs>	Okie ;)
Nov 22 22:12:41 <DeWdRoPs>	:)*
Nov 22 22:12:44 <RammsteinFan>	:)
Nov 22 22:12:44 *	Notify: LilMermaid is offline (LibraIRC)
Nov 22 22:12:50 <DeWdRoPs>	:):)
Nov 22 22:13:03 <RammsteinFan>	why did you ask me that?
Nov 22 22:13:47 <DeWdRoPs>	No. I just felt like asking and I asked. And you still like me and I am happyyyy :)
Nov 22 22:14:11 <RammsteinFan>	hmmm ok
Nov 22 22:14:33 <RammsteinFan>	good
Nov 22 22:14:42 <DeWdRoPs>	Lots of 'hmmmm's today.. Humming bird :d
Nov 22 22:14:52 <DeWdRoPs>	Ah. Dj-ing. So no wonder :P
Nov 22 22:15:55 <DeWdRoPs>	Anyway, I like you toooo, now and alwayssss.. Hugssssssssssss and Hugsssssssssssss :)
Nov 22 22:18:24 <RammsteinFan>	hugsss :)
Nov 22 22:19:37 <DeWdRoPs>	You know Veeeer, at times, I really "don't" miss you :P
Nov 22 22:19:51 <RammsteinFan>	me too :P
Nov 22 22:20:17 <DeWdRoPs>	Ah. You too. Then it's fine, I guess. :d
Nov 22 22:20:35 <RammsteinFan>	yes :)
Nov 22 22:21:05 <DeWdRoPs>	Hmmmm :)
Nov 22 22:22:14 <RammsteinFan>	hmmmm :)
Nov 22 22:23:14 <DeWdRoPs>	Hugsssssssss, Veeeer :)
Nov 22 22:23:57 <DeWdRoPs>	How is Dj-ing going on ?
Nov 22 22:24:11 <RammsteinFan>	hugsss :)
Nov 22 22:24:38 <RammsteinFan>	good :)
Nov 22 22:24:53 <DeWdRoPs>	Great. Carry on then :)
Nov 22 22:26:10 <RammsteinFan>	:)
Nov 22 22:29:05 <DeWdRoPs>	:):)
**** ENDING LOGGING AT Tue Nov 22 23:02:59 2016

**** BEGIN LOGGING AT Wed Nov 23 22:38:48 2016

[DeWdRoPs has address Chat@19B116.11B765.927F4C.F2AB69]
Nov 23 22:38:48 <DeWdRoPs>	Veeeeeeeeeeeer aka Mr. Faster than Bullet Speed Man.. Hugsssssssssssssss :) 
Nov 23 22:38:59 <DeWdRoPs>	Good Night. Catch you laters. Take care :)
Nov 23 22:39:06 <RammsteinFan>	tc :)
Nov 23 22:39:08 <RammsteinFan>	latersz1
Nov 23 22:39:22 <DeWdRoPs>	No.
Nov 23 22:39:25 <DeWdRoPs>	My hugs ?
Nov 23 22:39:35 <RammsteinFan>	oh right
Nov 23 22:39:37 <RammsteinFan>	hugsss :)
Nov 23 22:39:41 <DeWdRoPs>	:) Okie :)
Nov 23 22:39:46 <DeWdRoPs>	See you sooon :)
Nov 23 22:39:54 <RammsteinFan>	ok :)
Nov 23 22:40:02 <RammsteinFan>	see you soon :)
Nov 23 22:40:43 *	DeWdRoPs has quit (Quit: Reason filtered)
**** ENDING LOGGING AT Wed Nov 23 22:42:10 2016

**** BEGIN LOGGING AT Thu Nov 24 11:33:55 2016

[DeWdRoPs has address Chat@19B116.11B765.927F4C.F2AB69]
Nov 24 11:33:55 <DeWdRoPs>	Dj-ing ?
Nov 24 11:34:29 <RammsteinFan>	no wroking
Nov 24 11:35:13 <DeWdRoPs>	Ah, okie :)
Nov 24 11:35:15 <DeWdRoPs>	Hugssssssss :)
**** ENDING LOGGING AT Thu Nov 24 12:13:35 2016

**** BEGIN LOGGING AT Sun Nov 27 17:26:03 2016

